timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619531515563,240,HTTP Request,200,OK,Thread Group 1-234,text,true,,14395,117,66,66,http://www.google.com/,190,0,52
1619531515531,272,HTTP Request,200,OK,Thread Group 1-229,text,true,,14359,117,66,66,http://www.google.com/,203,0,48
1619531515566,240,HTTP Request,200,OK,Thread Group 1-236,text,true,,14355,117,66,66,http://www.google.com/,190,0,58
1619531515571,240,HTTP Request,200,OK,Thread Group 1-237,text,true,,14403,117,65,65,http://www.google.com/,190,0,51
1619531515569,245,HTTP Request,200,OK,Thread Group 1-238,text,true,,14388,117,64,64,http://www.google.com/,195,0,55
1619531515581,241,HTTP Request,200,OK,Thread Group 1-240,text,true,,14427,117,64,64,http://www.google.com/,192,0,54
1619531515594,230,HTTP Request,200,OK,Thread Group 1-241,text,true,,14377,117,65,65,http://www.google.com/,184,0,48
1619531515584,248,HTTP Request,200,OK,Thread Group 1-239,text,true,,14414,117,65,65,http://www.google.com/,199,0,62
1619531515603,235,HTTP Request,200,OK,Thread Group 1-242,text,true,,14301,117,67,67,http://www.google.com/,185,0,52
1619531515610,244,HTTP Request,200,OK,Thread Group 1-243,text,true,,14382,117,71,71,http://www.google.com/,190,0,53
1619531515616,244,HTTP Request,200,OK,Thread Group 1-244,text,true,,14424,117,71,71,http://www.google.com/,199,0,53
1619531515461,416,HTTP Request,200,OK,Thread Group 1-215,text,true,,14409,117,67,67,http://www.google.com/,360,0,97
1619531515565,346,HTTP Request,200,OK,Thread Group 1-233,text,true,,14398,117,70,70,http://www.google.com/,287,0,57
1619531515651,312,HTTP Request,200,OK,Thread Group 1-254,text,true,,14339,117,73,73,http://www.google.com/,222,0,61
1619531515638,328,HTTP Request,200,OK,Thread Group 1-250,text,true,,14380,117,72,72,http://www.google.com/,275,0,56
1619531515636,330,HTTP Request,200,OK,Thread Group 1-249,text,true,,14369,117,72,72,http://www.google.com/,242,0,61
1619531515621,346,HTTP Request,200,OK,Thread Group 1-245,text,true,,14404,117,72,72,http://www.google.com/,260,0,57
1619531515641,326,HTTP Request,200,OK,Thread Group 1-251,text,true,,14342,117,72,72,http://www.google.com/,272,0,56
1619531515671,296,HTTP Request,200,OK,Thread Group 1-258,text,true,,14374,117,69,69,http://www.google.com/,241,0,64
1619531515626,353,HTTP Request,200,OK,Thread Group 1-246,text,true,,14402,117,67,67,http://www.google.com/,255,0,57
1619531515671,308,HTTP Request,200,OK,Thread Group 1-257,text,true,,14370,117,67,67,http://www.google.com/,248,0,64
1619531515633,346,HTTP Request,200,OK,Thread Group 1-248,text,true,,14364,117,67,67,http://www.google.com/,242,0,68
1619531515661,318,HTTP Request,200,OK,Thread Group 1-253,text,true,,14362,117,67,67,http://www.google.com/,251,0,66
1619531515645,335,HTTP Request,200,OK,Thread Group 1-252,text,true,,14359,117,67,67,http://www.google.com/,239,0,63
1619531515665,315,HTTP Request,200,OK,Thread Group 1-256,text,true,,14364,117,65,65,http://www.google.com/,247,0,65
1619531515661,320,HTTP Request,200,OK,Thread Group 1-255,text,true,,14385,117,62,62,http://www.google.com/,250,0,66
1619531515688,293,HTTP Request,200,OK,Thread Group 1-259,text,true,,14362,117,60,60,http://www.google.com/,228,0,98
